,n_regimes,model,log_likelihood,μ,σ,π,A,π_alpha,A_alpha,q_prob
0,2,1,-72447.15148713117,[-0.07368166  0.28664035],[0.29638077 0.09687174],[0.10158148 0.89841852],"[[0.29471205 0.70528795]
 [0.55908808 0.44091192]]",[10.1423336 81.8576664],"[[ 84609.46112774 202481.11028503]
 [202486.72775375 159686.70083333]]","[[0.04819162 0.95180838]
 [0.34029229 0.65970771]
 [0.27130925 0.72869075]
 ...
 [0.17547369 0.82452631]
 [0.90307985 0.09692015]
 [0.15461039 0.84538961]]"
0,2,2,-72520.41545045334,[0.26274116 0.01949841],[0.08554053 0.27139408],[0.53967317 0.46032683],"[[0.24903726 0.75096274]
 [0.60741173 0.39258827]]",[31.22169742 26.77830258],"[[ 44979.87027282 135633.13428161]
 [135646.36162072  87672.63382493]]","[[0.72023881 0.27976119]
 [0.53698318 0.46301682]
 [0.58817458 0.41182542]
 ...
 [0.74929358 0.25070642]
 [0.02159145 0.97840855]
 [0.7926503  0.2073497 ]]"
0,2,3,-71893.87965501781,[-0.20925402  0.31338667],[0.31663491 0.11256717],[0.01923526 0.98076474],"[[0.92055912 0.07944088]
 [0.04672332 0.95327668]]",[  4.52005331 180.47994669],"[[449599.19544406  38799.67814118]
 [ 38846.725589   792554.40082591]]","[[8.90497067e-04 9.99109503e-01]
 [2.60330902e-03 9.97396691e-01]
 [3.26522229e-03 9.96734778e-01]
 ...
 [1.80802163e-01 8.19197837e-01]
 [2.26875710e-01 7.73124290e-01]
 [2.00187095e-01 7.99812905e-01]]"
0,2,4,-72049.99038819945,[-0.22384175  0.32758873],[0.31911094 0.10346541],[0.01440059 0.98559941],"[[0.74852001 0.25147999]
 [0.15508969 0.84491031]]",[  2.65606825 114.34393175],"[[236713.59949124  79529.24348649]
 [ 79565.75666077 433460.40036146]]","[[0.00198136 0.99801864]
 [0.02490107 0.97509893]
 [0.03364052 0.96635948]
 ...
 [0.32106977 0.67893023]
 [0.51789604 0.48210396]
 [0.29862792 0.70137208]]"
0,2,5,-72416.91833548388,[-0.06080331  0.28454298],[0.29318412 0.09545602],[0.01997432 0.98002568],"[[0.30705906 0.69294094]
 [0.57957023 0.42042977]]",[  5.15465941 204.84534059],"[[209726.18442696 473288.34855628]
 [473317.15169531 343352.31532138]]","[[0.00819545 0.99180455]
 [0.37355435 0.62644565]
 [0.22692298 0.77307702]
 ...
 [0.18295214 0.81704786]
 [0.91692547 0.08307453]
 [0.16030579 0.83969421]]"
0,3,1,-72260.93081979157,[ 0.35391432  0.11538529 -0.05044391],[0.06795686 0.14121391 0.31299104],[0.91321144 0.0843393  0.00244926],"[[0.4455461  0.54827037 0.00618353]
 [0.11382195 0.02588329 0.86029476]
 [0.32845172 0.43329583 0.23825246]]",[173.59696207  16.9401269    1.46291103],"[[176936.27174555 217730.13660866   2456.6052211 ]
 [ 51434.69692874  11697.10437371 388749.73385235]
 [168661.76137749 222499.4698327  122344.2200596 ]]","[[9.80660380e-01 1.88442392e-02 4.95381072e-04]
 [5.14486510e-01 4.71815443e-01 1.36980468e-02]
 [1.78391051e-01 3.74029092e-01 4.47579856e-01]
 ...
 [2.21833223e-01 5.93792021e-01 1.84374756e-01]
 [5.10061636e-03 2.82150116e-01 7.12749268e-01]
 [4.45083297e-01 2.93372907e-01 2.61543796e-01]]"
0,3,2,-72016.08450953278,[-0.33453738  0.28830761  0.29363061],[0.35249394 0.07435122 0.15886251],[0.00299222 0.76512278 0.231885  ],"[[0.51661185 0.0710316  0.41235655]
 [0.01864766 0.42568007 0.55567227]
 [0.32940666 0.50104341 0.16954993]]",[ 1.15260322 40.02126187 12.82613491],"[[50911.98477988  7001.01159999 40637.84949595]
 [ 2460.32083361 56141.22361971 73285.06366255]
 [45187.86828396 68732.40430791 23259.27341623]]","[[6.67591865e-04 9.12603234e-01 8.67291738e-02]
 [3.05075461e-02 2.33574903e-01 7.35917551e-01]
 [5.25986673e-02 7.31245092e-01 2.16156241e-01]
 ...
 [1.80244376e-01 5.84562818e-01 2.35192806e-01]
 [2.45725604e-01 1.39748951e-02 7.40299501e-01]
 [1.73876678e-01 5.81263739e-01 2.44859583e-01]]"
0,3,3,-72074.23027635989,[ 0.41135781 -0.71229168  0.29635988],[0.23076087 0.38190012 0.10656514],[0.85276626 0.0191389  0.12809484],"[[0.10745628 0.24955148 0.64299225]
 [0.74336006 0.24223353 0.01440641]
 [0.02333743 0.14884406 0.82781851]]",[48.75491058  2.0717782   8.17331122],"[[  7348.87880202  17065.37340472  43968.92182398]
 [ 54899.58716328  17890.41744634   1064.94173438]
 [  6100.46853637  38902.86604105 216359.54504796]]","[[0.86273066 0.00633947 0.13092987]
 [0.06278034 0.03780611 0.89941355]
 [0.04635988 0.02466493 0.92897519]
 ...
 [0.09985655 0.17811507 0.72202838]
 [0.2401469  0.23740118 0.52245192]
 [0.21743592 0.0883158  0.69424828]]"
0,3,4,-71923.4244490317,[ 0.25714128  0.32114001 -0.3408089 ],[0.16737875 0.08175873 0.35033393],[0.02043929 0.97593461 0.0036261 ],"[[0.47718973 0.40460508 0.11820519]
 [0.24408929 0.64813044 0.10778026]
 [0.18242659 0.1108629  0.7067105 ]]",[ 2.98261087 95.66565741  1.35173173],"[[ 98731.88383601  83714.06995499  24457.73553512]
 [ 72960.95075483 193731.59871167  32217.25408689]
 [ 35241.16717553  21416.88688038 136519.4530645 ]]","[[9.41476492e-03 9.90256946e-01 3.28288895e-04]
 [1.36228871e-01 8.50700123e-01 1.30710054e-02]
 [1.95655862e-01 7.79837779e-01 2.45063591e-02]
 ...
 [3.43333886e-01 4.99235212e-01 1.57430902e-01]
 [6.73832031e-01 6.42389247e-02 2.61929044e-01]
 [3.38430984e-01 5.01063285e-01 1.60505731e-01]]"
0,3,5,-71786.42977607797,[-0.33219946  0.33468724  0.15776534],[0.37166323 0.07961836 0.17833158],[0.00381264 0.83971553 0.15647182],"[[0.79590489 0.01421992 0.18987519]
 [0.00834777 0.6286891  0.36296313]
 [0.09515215 0.4142416  0.49060624]]",[  1.75871547 168.10339137  32.13789316],"[[220868.02342636   3947.08811414  52692.18016595]
 [  5133.51302763 386541.83687351 223163.88369601]
 [ 51521.55765766 224293.97043651 265641.94660215]]","[[1.92178490e-04 9.36390291e-01 6.34175309e-02]
 [1.68910154e-03 7.81003498e-01 2.17307401e-01]
 [5.57387856e-03 5.53849587e-01 4.40576535e-01]
 ...
 [8.13541942e-02 5.67738348e-01 3.50907457e-01]
 [9.12726881e-02 5.01964761e-02 8.58530836e-01]
 [9.00210323e-02 5.49599425e-01 3.60379543e-01]]"
