,n_regimes,model,μ,σ,π,A,log_likelihood
0,2,1,[0.26033976 0.01488166],[0.12631492 0.26073531],[0.54751681 0.45248319],"[[0.00702196 0.99297804]
 [0.90095488 0.09904512]]",-72881.31604853
0,2,2,[ 0.34174416 -0.12416645],[0.08952189 0.2930143 ],[0.89346575 0.10653425],"[[0.74519385 0.25480615]
 [0.24459404 0.75540596]]",-72167.89309285952
0,2,3,[-0.37957292  0.29332834],[0.36678685 0.11853461],[0.00361386 0.99638614],"[[0.5921114  0.4078886 ]
 [0.11878126 0.88121874]]",-72092.5170755786
0,2,4,[-0.26071205  0.29361444],[0.34089722 0.11344707],[0.0684883 0.9315117],"[[0.18376854 0.81623146]
 [0.34843363 0.65156637]]",-72355.02430821228
0,2,5,[0.0358044  0.29851117],[0.2528692 0.0843239],[0.18521356 0.81478644],"[[0.60007353 0.39992647]
 [0.79092979 0.20907021]]",-72570.74380085568
0,2,6,[ 0.30461596 -0.29842837],[0.11401403 0.34320322],[0.97146354 0.02853646],"[[0.90030302 0.09969698]
 [0.26129444 0.73870556]]",-71990.86179063687
0,2,7,[0.28504647 0.03211657],[0.0749784 0.2598065],[0.96132298 0.03867702],"[[0.29564708 0.70435292]
 [0.39890494 0.60109506]]",-72451.54637427718
0,2,8,[-0.38042628  0.28958843],[0.36960988 0.11896809],[0.79967455 0.20032545],"[[0.23121995 0.76878005]
 [0.23809688 0.76190312]]",-72238.09864645799
0,2,9,[-0.09859517  0.30998338],[0.29714604 0.08947238],[0.04984242 0.95015758],"[[0.52531274 0.47468726]
 [0.40728968 0.59271032]]",-72230.75178906968
0,2,10,[0.10543052 0.13252655],[0.17561721 0.21336171],[0.39384082 0.60615918],"[[0.60007241 0.39992759]
 [0.05609407 0.94390593]]",-73406.93867146896
0,3,1,[ 0.05794814  0.36482914 -0.23159821],[0.161173   0.0922608  0.34247403],[4.78815604e-03 9.94278472e-01 9.33372335e-04],"[[0.07225874 0.34752934 0.58021192]
 [0.16465759 0.77813466 0.05720774]
 [0.41382472 0.09597854 0.49019674]]",-71929.14938778989
0,3,2,[ 0.20282316  0.29853036 -0.38670197],[0.0534374  0.14472219 0.37399335],[0.36408831 0.58798033 0.04793136],"[[0.04413645 0.84110879 0.11475476]
 [0.23933311 0.49839183 0.26227506]
 [0.23183677 0.54371137 0.22445185]]",-72126.70836398222
0,3,3,[-0.11516073  0.36734455 -0.19097498],[0.19389865 0.09527829 0.36078203],[0.0123605  0.98343753 0.00420196],"[[3.06170115e-01 4.85717407e-01 2.08112478e-01]
 [2.31964422e-01 7.68018528e-01 1.70507563e-05]
 [1.52831516e-01 7.21618729e-02 7.75006611e-01]]",-71798.43241209703
0,3,4,[ 0.04315815  0.33570636 -0.2388507 ],[0.1934174  0.09762759 0.33836644],[0.19725672 0.798154   0.00458928],"[[0.08240999 0.73539361 0.1821964 ]
 [0.18983003 0.76537934 0.04479063]
 [0.0923194  0.0876114  0.82006921]]",-71814.06025716197
0,3,5,[ 0.33589746  0.2462086  -0.40523599],[0.15086553 0.06248402 0.36002924],[0.77865279 0.19352008 0.02782713],"[[0.41496539 0.32614356 0.25889105]
 [0.50568874 0.32858104 0.16573022]
 [0.52341226 0.13807825 0.33850948]]",-72035.75358393099
0,3,6,[ 0.33850619 -0.50617006  0.1527121 ],[0.09821972 0.38828812 0.1911848 ],[0.93338295 0.02979068 0.03682637],"[[0.91447103 0.07337781 0.01215116]
 [0.0761152  0.38608083 0.53780397]
 [0.10458971 0.29898249 0.59642781]]",-71730.18853230914
0,3,7,[-0.36890079  0.33288206  0.18706256],[0.35193439 0.08767883 0.20072791],[0.02592041 0.89787832 0.07620127],"[[0.12316066 0.19632082 0.68051852]
 [0.23898404 0.71729876 0.0437172 ]
 [0.40091683 0.3496356  0.24944757]]",-72026.39436092717
0,3,8,[ 0.26142922 -0.13148533  0.36502511],[0.05998301 0.29812097 0.10908527],[0.06097407 0.0069612  0.93206473],"[[0.10385147 0.20594205 0.69020648]
 [0.07388462 0.45987493 0.46624045]
 [0.36162562 0.57561498 0.0627594 ]]",-72129.88213460699
0,3,9,[ 0.36875162  0.24227585 -0.85407074],[0.10647774 0.40400729 0.23058759],[0.86954417 0.03552668 0.09492914],"[[0.80163211 0.04216022 0.15620767]
 [0.53108023 0.17120133 0.29771844]
 [0.26966878 0.57754794 0.15278328]]",-71966.85615485978
0,3,10,[-0.26982354  0.17203525  0.37990742],[0.32805205 0.04992844 0.12756339],[0.01477265 0.0437187  0.94150865],"[[0.7719778  0.10874464 0.11927756]
 [0.24235377 0.2667765  0.49086973]
 [0.08418864 0.21704984 0.69876152]]",-71817.82474399626
0,4,1,[ 0.83457091  0.18632379 -0.32213978  0.11941908],[0.12655765 0.07236101 0.32782864 0.19030637],[0.40583488 0.53129849 0.00421274 0.05865389],"[[0.0324627  0.59648909 0.31724891 0.0537993 ]
 [0.31229237 0.38700398 0.29895514 0.00174851]
 [0.06186092 0.28607058 0.25619727 0.39587124]
 [0.16723091 0.20391658 0.55523621 0.07361631]]",-72027.30074466618
0,4,2,[ 0.1183974   0.96000473 -0.24210005 -0.10142028],[0.06581427 0.11660891 0.38814441 0.18234396],[0.12590956 0.0485585  0.04874698 0.77678497],"[[0.04906316 0.28004199 0.18375756 0.4871373 ]
 [0.45438987 0.0576296  0.04904397 0.43893657]
 [0.15886793 0.2981974  0.08438882 0.45854585]
 [0.39468863 0.11587554 0.31356997 0.17586587]]",-72082.46019401506
0,4,3,[ 0.33553867 -0.04459534 -0.478994    0.31697727],[0.06087524 0.20900832 0.42537768 0.13770043],[0.0045196  0.40541261 0.02270475 0.56736304],"[[6.55865965e-01 2.20951762e-02 9.55163141e-03 3.12487227e-01]
 [5.39412850e-03 6.21000381e-01 1.47619040e-01 2.25986450e-01]
 [6.78684577e-04 3.38695102e-01 6.31559306e-01 2.90669074e-02]
 [1.59067461e-01 8.69901414e-02 4.52550225e-02 7.08687375e-01]]",-71580.18809402414
0,4,4,[-0.38274678  0.15581156  0.40035482  0.20275235],[0.36130921 0.05153402 0.12265833 0.17959136],[0.01986764 0.71548823 0.11856211 0.14608203],"[[0.82114647 0.00937164 0.01126585 0.15821605]
 [0.12643154 0.00982687 0.83305852 0.03068307]
 [0.02502761 0.37279734 0.17287906 0.42929599]
 [0.01777493 0.23716011 0.59900539 0.14605957]]",-71662.23252531467
0,4,5,[ 0.36551859 -1.58674735 -0.34676683  0.7746703 ],[0.08859468 0.20590464 0.49503479 0.21846295],[0.88784734 0.01368985 0.08793577 0.01052703],"[[0.73151097 0.15411336 0.03162931 0.08274635]
 [0.20397406 0.05187263 0.26045566 0.48369765]
 [0.26081997 0.10486399 0.22978065 0.40453538]
 [0.34904037 0.20937207 0.03267103 0.40891653]]",-71832.67031795904
0,4,6,[-0.36751288 -0.20380898  2.55012224  0.19685179],[0.43416269 0.1614315  0.1127247  0.05279103],[1.08966446e-05 1.02793354e-02 1.71000566e-01 8.18709202e-01],"[[0.26932638 0.59487137 0.02448257 0.11131968]
 [0.15982372 0.62876565 0.14394284 0.06746779]
 [0.05818283 0.10551014 0.03814856 0.79815847]
 [0.05975883 0.42687299 0.05035327 0.46301491]]",-71834.44508372496
0,4,7,[ 1.05710919 -0.79344646 -0.21421961  0.27215424],[0.14803113 0.1546594  0.3647799  0.06931029],[0.2917416  0.00753293 0.00296106 0.69776442],"[[0.4971869  0.02412659 0.07611733 0.40256918]
 [0.25216318 0.32506042 0.39389702 0.02887938]
 [0.0836047  0.35112807 0.55989031 0.00537692]
 [0.14248625 0.16877158 0.03627445 0.65246771]]",-71701.06395108777
0,4,8,[-0.83998314 -0.04775586  0.14140475  0.90814441],[0.16192121 0.32686015 0.07151311 0.11438022],[0.07222683 0.00269758 0.34973577 0.57533982],"[[0.28255839 0.52516671 0.1378571  0.0544178 ]
 [0.1344875  0.55060405 0.22361847 0.09128999]
 [0.11633015 0.22890949 0.13467726 0.52008309]
 [0.03068948 0.10089661 0.83017901 0.0382349 ]]",-71874.23158393649
0,4,9,[ 0.68005472 -0.00846402  0.08113315 -0.39034589],[0.12763143 0.15367298 0.06613806 0.34795404],[0.40349943 0.06991718 0.52204661 0.00453677],"[[0.22092082 0.34948756 0.38109251 0.04849911]
 [0.18483849 0.12286553 0.57953413 0.11276185]
 [0.55888969 0.03802034 0.07476431 0.32832567]
 [0.25789324 0.02544843 0.12924618 0.58741215]]",-71847.00167773859
